jumpHeight,takeOffVelocity,bodyWeight,pushOffDistance,maxPower,maxPowerRelative,slope,slopeRelative
0.298331016,2.419350022,90,0.35,2707.811334,30.08679261,-510.0051474,-5.66672386
0.503861193,3.144162307,70,0.35,3289.508031,46.99297188,-596.8042436,-8.525774909
0.471020687,3.039971361,75,0.35,3293.829927,43.91773236,-597.3394021,-7.964525361
0.434622555,2.920153167,80,0.35,3284.239085,41.05298856,-600.3036535,-7.503795669
0.407305966,2.826896365,85,0.35,3285.547925,38.653505,-596.7516963,-7.020608192
0.381731033,2.736706573,90,0.35,3271.400687,36.34889652,-604.09516,-6.712168444
0.587918689,3.39631634,70,0.35,3867.139884,55.24485549,-681.5572289,-9.736531842
0.547360108,3.277072674,75,0.35,3858.369697,51.44492929,-683.0646232,-9.10752831
0.517983429,3.187920149,80,0.35,3846.175946,48.07719932,-690.0045628,-8.625057035
0.483790005,3.080902448,85,0.35,3848.159525,45.27246499,-690.8245409,-8.12734754
0.452127464,2.978378895,90,0.35,3824.999995,42.49999994,-703.4750466,-7.816389407
0.656410383,3.58870056,70,0.35,4424.040803,63.2005829,-772.5893271,-11.03699039
0.625369463,3.502820129,75,0.35,4418.572812,58.91430416,-773.4996821,-10.31332909
0.587918689,3.39631634,80,0.35,4414.449926,55.18062408,-778.0755307,-9.725944133
0.553318523,3.294861063,85,0.35,4399.713576,51.76133619,-789.7769947,-9.291494055
0.521279715,3.19804753,90,0.35,4409.708289,48.99675877,-781.4243318,-8.682492576
0.73291641,3.792073308,70,0.35,4990.408359,71.29154799,-855.8451328,-12.22635904
0.692310721,3.685530675,75,0.35,4987.335161,66.49780215,-861.7510365,-11.49001382
0.654820007,3.584350504,80,0.35,4970.099022,62.12623777,-874.3171014,-10.92896377
0.620120017,3.488087545,85,0.35,4966.443372,58.42874556,-873.485889,-10.27630458
0.587918689,3.39631634,90,0.35,4950.517472,55.00574969,-878.7729398,-9.764143776
0.790176483,3.937418266,70,0.35,5549.787946,79.28268494,-933.9907342,-13.34272477
0.749813148,3.835535681,75,0.35,5544.525814,73.92701085,-939.8006809,-12.53067575
0.712527801,3.738956467,80,0.35,5538.91263,69.23640788,-945.4127542,-11.81765943
0.677977269,3.647178912,85,0.35,5532.83905,65.09222412,-950.9741196,-11.18793082
0.645860984,3.55974613,90,0.35,5526.195438,61.40217153,-956.5962988,-10.62884776
0.061441901,1.097948129,70,0.35,595.4775284,8.506821834,-1807.501092,-25.82144418
0.05758397,1.062919322,75,0.35,595.0301989,7.933735985,-1775.112286,-23.66816382
0.053152637,1.021202596,80,0.35,595.6588111,7.445735139,-1735.966229,-21.69957786
0.049021123,0.980711186,85,0.35,596.4570688,7.017141985,-1695.529512,-19.94740603
0.044522383,0.934627815,90,0.35,599.3273583,6.659192869,-1642.241915,-18.24713239
0.073829833,1.203553626,70,0.35,754.2893328,10.7755619,-2401.750164,-34.31071663
0.070719714,1.177930721,75,0.35,752.4786455,10.03304861,-2373.666168,-31.64888224
0.06669487,1.143920171,80,0.35,751.3692867,9.392116084,-2346.753978,-29.33442472
0.063763197,1.11849628,85,0.35,750.2289983,8.826223509,-2331.192068,-27.42578903
0.060050345,1.08544358,90,0.35,749.6911466,8.329901629,-2293.788446,-25.48653829
0.08294264,1.275670254,70,0.35,912.462722,13.03518174,-2950.533577,-42.15047968
0.079786958,1.251167499,75,0.35,911.29865,12.15064867,-2932.775532,-39.10367376
0.076695018,1.226685071,80,0.35,909.9321444,11.37415181,-2927.844103,-36.59805129
0.073671479,1.202262206,85,0.35,908.7594273,10.69128738,-2906.185306,-34.19041536
0.070719714,1.177930721,90,0.35,907.2576409,10.08064045,-2886.513372,-32.0723708
0.08941961,1.32454247,70,0.35,1071.802857,15.31146938,-3485.208587,-49.7886941
0.086247516,1.300836757,75,0.35,1070.253166,14.27004221,-3469.293044,-46.25724059
0.08312569,1.277077148,80,0.35,1068.610617,13.35763271,-3471.470634,-43.39338293
0.081302738,1.262996323,85,0.35,1066.48787,12.54691612,-3446.349355,-40.54528653
0.078287185,1.239352479,90,0.35,1065.82066,11.84245178,-3437.571807,-38.1952423
0.09294519,1.350401658,70,0.35,1227.35356,17.53362228,-3993.846113,-57.05494448
0.091203483,1.337689178,75,0.35,1224.928039,16.33237385,-3973.061877,-52.97415836
0.08941961,1.32454247,80,0.35,1223.933203,15.29916504,-3982.994894,-49.78743618
